Provisional Final Fantasy IV ROM Map

Last Updated: 2024-05-15 16:06:36 UTC

The following is a provisional ROM map of Final Fantasy IV. It is currently
automatically generated from the source files of an incomplete disassembly of
the game. As such, things may be mislabeled or otherwise incorrect. Use this
information at your own risk. Here is a brief description of each field:

Label           A descriptive-ish name given to the region of code or data. May
                or may not be specific enough to accurately describe the region.
                Labels prefixed by underscores are subroutines expected to be
                used within the same bank (JSR/RTS). Other subroutines should be
                accessed with JSL/RTL. Most data blocks are suffixed with _data,
                but there are some scragglers that slipped through. Labels that
                start with CODE_ or DATA_ are ones that I have not bothered to
                accurately label yet beyond their use as code or data.

Mapped Address  The address of the region as accessed on the SNES system bus.
                Unless you have a particularly good reason (editing a file
                directly in a hex editor), you should always be use this
                address, as any written pointers will need to be written in
                this form anyway.

Binary Address  The address of the region in the actual ROM dump. As far as the
                game itself is concerned, this address does not exist. It is
                primarily useful for direct hex editing, but its use should
                otherwise be limited.

Type            A vague description of what this region contains.

Size            The size of the region in bytes. Do note that since a single
                logical region can occasionally have multiple labels, this value
                is not necessarily accurate.

+-----------------------------------------------------------------------+---------------------+-------------------+---------+--------+
|                                 Label                                 |   Mapped Address    |  Binary Address   |  Type   |  Size  |
+-----------------------------------------------------------------------+---------------------+-------------------+---------+--------+
| main                                                                  | $00:8000 - $00:803F | $000000 - $00003F | Code    |     64 |
| main_no_title_screen                                                  | $00:8040 - $00:808A | $000040 - $00008A | Code    |     75 |
| _calculate_perspective_and_init_ppu_map_change                        | $00:808B - $00:808D | $00008B - $00008D | Code    |      3 |
| _init_ppu_and_finalize_map_change                                     | $00:808E - $00:809F | $00008E - $00009F | Code    |     18 |
| _main_loop_reset_map                                                  | $00:80A0 - $00:80AE | $0000A0 - $0000AE | Code    |     15 |
| _main_loop                                                            | $00:80AF - $00:8137 | $0000AF - $000137 | Code    |    137 |
| _main_loop_dungeon                                                    | $00:8138 - $00:81F3 | $000138 - $0001F3 | Code    |    188 |
| _check_menu                                                           | $00:81F4 - $00:828F | $0001F4 - $00028F | Code    |    156 |
| _init_data_structures                                                 | $00:8290 - $00:8301 | $000290 - $000301 | Code    |    114 |
| _set_movement_speed                                                   | $00:8302 - $00:830B | $000302 - $00030B | Code    |     10 |
| vehicle_speed_data                                                    | $00:830C - $00:8312 | $00030C - $000312 | Data    |      7 |
| _finalize_map_change                                                  | $00:8313 - $00:834D | $000313 - $00034D | Code    |     59 |
| _init_map                                                             | $00:834E - $00:83A3 | $00034E - $0003A3 | Code    |     86 |
| _change_map_dungeon                                                   | $00:83A4 - $00:8451 | $0003A4 - $000451 | Code    |    174 |
| _change_map_dungeon_resume                                            | $00:8452 - $00:8501 | $000452 - $000501 | Code    |    176 |
| _change_map_overworld                                                 | $00:8502 - $00:853B | $000502 - $00053B | Code    |     58 |
